Código INE;Municipio;Provincia;Comunidad/ciudad autónoma
45073;Herreruela de Oropesa;Toledo;Castilla-La Mancha
47073;Herrín de Campos;Valladolid;Castilla y León
10096;Hervás;Cáceres;Extremadura
26074;Hervías;La Rioja;La Rioja
19135;Hiendelaencina;Guadalajara;Castilla-La Mancha
10097;Higuera;Cáceres;Extremadura
23041;Higuera de Calatrava;Jaén;Andalucía
06064;Higuera de la Serena;Badajoz;Extremadura
21038;Higuera de la Sierra;Huelva;Andalucía
05095;Higuera de las Dueñas;Ávila;Castilla y León
06065;Higuera de Llerena;Badajoz;Extremadura
06066;Higuera de Vargas;Badajoz;Extremadura
06067;Higuera la Real;Badajoz;Extremadura
12069;Higueras;Castelló/Castellón;Comunitat Valenciana
02039;Higueruela;Albacete;Castilla-La Mancha
46141;Higueruelas;València/Valencia;Comunitat Valenciana
44122;Híjar;Teruel;Aragón
19136;Hijes;Guadalajara;Castilla-La Mancha
10098;Hinojal;Cáceres;Extremadura
21039;Hinojales;Huelva;Andalucía
23042;Hinojares;Jaén;Andalucía
21040;Hinojos;Huelva;Andalucía
37160;Hinojosa de Duero;Salamanca;Castilla y León
44123;Hinojosa de Jarque;Teruel;Aragón
45074;Hinojosa de San Vicente;Toledo;Castilla-La Mancha
42100;Hinojosa del Campo;Soria;Castilla y León
14035;Hinojosa del Duque;Córdoba;Andalucía
06068;Hinojosa del Valle;Badajoz;Extremadura
13048;Hinojosas de Calatrava;Ciudad Real;Castilla-La Mancha
31256;Hiriberri/Villanueva de Aezkoa;Navarra;Comunidad Foral de Navarra
19138;Hita;Guadalajara;Castilla-La Mancha
10099;Holguera;Cáceres;Extremadura
19139;Hombrados;Guadalajara;Castilla-La Mancha
20036;Hondarribia;Gipuzkoa;País Vasco/Euskadi
03078;Hondón de los Frailes;Alacant/Alicante;Comunitat Valenciana
16102;Honrubia;Cuenca;Castilla-La Mancha
40099;Honrubia de la Cuesta;Segovia;Castilla y León
40100;Hontalbilla;Segovia;Castilla y León
45075;Hontanar;Toledo;Castilla-La Mancha
40101;Hontanares de Eresma;Segovia;Castilla y León
09159;Hontanas;Burgos;Castilla y León
16103;Hontanaya;Cuenca;Castilla-La Mancha
09160;Hontangas;Burgos;Castilla y León
16104;Hontecillas;Cuenca;Castilla-La Mancha
19142;Hontoba;Guadalajara;Castilla-La Mancha
34086;Hontoria de Cerrato;Palencia;Castilla y León
